section,name,count,notes
book,Daniel,111,mapped verse keys
book,Hosea,26,mapped verse keys
book,Joel,8,mapped verse keys
book,Amos,13,mapped verse keys
book,Obadiah,0,mapped verse keys
book,Jonah,22,mapped verse keys
book,Micah,9,mapped verse keys
book,Nahum,0,mapped verse keys
book,Habakkuk,0,mapped verse keys
book,Zephaniah,0,mapped verse keys
book,Haggai,25,mapped verse keys
book,Zechariah,37,mapped verse keys
book,Malachi,0,mapped verse keys
book,Matthew,542,mapped verse keys
book,Mark,290,mapped verse keys
book,Luke,587,mapped verse keys
book,John,476,mapped verse keys
book,Acts,592,mapped verse keys
book,Romans,77,mapped verse keys
book,1 Corinthians,94,mapped verse keys
book,2 Corinthians,20,mapped verse keys
book,Galatians,29,mapped verse keys
book,Ephesians,56,mapped verse keys
book,Philippians,14,mapped verse keys
book,Colossians,20,mapped verse keys
book,1 Thessalonians,7,mapped verse keys
book,2 Thessalonians,0,mapped verse keys
book,1 Timothy,29,mapped verse keys
book,2 Timothy,8,mapped verse keys
book,Titus,10,mapped verse keys
book,Philemon,15,mapped verse keys
book,Hebrews,117,mapped verse keys
book,James,27,mapped verse keys
book,1 Peter,43,mapped verse keys
book,2 Peter,8,mapped verse keys
book,1 John,14,mapped verse keys
book,2 John,0,mapped verse keys
book,3 John,0,mapped verse keys
book,Jude,2,mapped verse keys
book,Revelation,253,mapped verse keys
contentStatus,phase-1-original-paraphrase-from-public-domain-sources,46,topic cards
contentStatus,phase-3-original-teaching-summary-grounded-in-public-domain-source-pool,113,topic cards
contentStatus,phase-4-original-paraphrase-from-public-domain-sources,93,topic cards
contentStatus,unknown,98,topic cards
